DATASET_PID,DATASET_ID,TRACKING_IDs
hdl:21.14100/78f77a59-efb4-37d0-b010-cfb82c13729f,CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp585.r3i1p1f3.SImon.sidconcdyn.gn.v20200121,hdl:21.14100/cf4d928d-1c33-4d51-b4d8-b1960f0a23db;hdl:21.14100/24d2ae8c-3438-452f-8ff4-6456e1ada49c
hdl:21.14100/dfa54882-1e40-35a3-b572-0e72199b4054,CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp585.r3i1p1f3.SImon.siflcondtop.gn.v20200121,hdl:21.14100/0e3a6a01-7a87-4ff7-946a-46bc34f45364;hdl:21.14100/ee5fb496-7b9d-4417-a3c2-e41980f10b6a
hdl:21.14100/51cdce84-3048-3e21-b4f2-785e72196757,CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp585.r3i1p1f3.SImon.sndmassmelt.gn.v20200121,hdl:21.14100/6ed5b4ed-c8b7-4696-b913-74f63df7aa2c;hdl:21.14100/52e899ab-070b-44c7-9472-25de97bf3b48
hdl:21.14100/c1be42ec-29d7-3dc5-bb62-f9ca624855b2,CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp585.r3i1p1f3.SImon.sitempbot.gn.v20200121,hdl:21.14100/0bb8c494-05af-4f94-83a4-137c163a3a69;hdl:21.14100/0eb4b83a-c5a5-4e03-8687-806da98db7ea
hdl:21.14100/b68ba4b7-8086-3a50-b632-fbc3e0b59778,CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp585.r3i1p1f3.SImon.simass.gn.v20200121,hdl:21.14100/b54ddf82-1910-4984-aac9-7f7941f33547;hdl:21.14100/97b23f53-73da-410d-99f9-553ef77798bb
hdl:21.14100/53d0881e-5363-3b41-b44a-7e1c5d211f98,CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp585.r3i1p1f3.SImon.siconc.gn.v20200121,hdl:21.14100/d2affe29-fe9f-44d5-bee8-55b5f9d599cc;hdl:21.14100/28d7a734-7203-4902-bd2a-e92cd779e4bc
hdl:21.14100/a496765f-3a0b-345c-accb-a7df084dee3a,CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp585.r3i1p1f3.SImon.sithick.gn.v20200121,hdl:21.14100/23605e9b-dc93-41a2-a34c-90d71a3a00bb;hdl:21.14100/615b669c-bdb2-4834-be66-c7c3ae21fe68
hdl:21.14100/ac44a9ec-574f-3e3f-8f5a-dddb2e154c16,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585.r3i1p2f1.Emon.loadso4.gn.v20190429,hdl:21.14100/8294a2a1-f26e-426f-ac4c-040aab936ab8
hdl:21.14100/a7fcbd98-3153-33c5-9492-8dabe67f14e4,CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585.r4i1p1f1.Emon.tntrl.gn.v20190710,hdl:21.14100/a917ed5e-eb1f-4efe-854c-a5352e5cbb81;hdl:21.14100/5daac5fa-e471-4077-adf8-fa1b5f8fc165;hdl:21.14100/b391adc1-46dc-4b31-9bfd-0b9c621cad42;hdl:21.14100/f1307875-99f6-4fbc-8e04-42ac906a687b;hdl:21.14100/8906eacd-7cea-413a-b5fb-6a347b07b66b
hdl:21.14100/e1f3628b-3ea9-39b2-bf2d-ccfb9ced6428,CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585.r4i1p1f1.Emon.tntrs.gn.v20190710,hdl:21.14100/b0a82712-642b-4b11-9503-5aeb1d751791;hdl:21.14100/fe3d8c16-0a21-485d-91f7-9db7b290c47e;hdl:21.14100/fce4f93a-aaf7-414c-8376-ad20799e3c78;hdl:21.14100/386f1033-6962-4f9f-bce2-6396eca379f1;hdl:21.14100/7b24e85b-898a-4241-8ed4-ffe1f68bca6c
hdl:21.14100/0b457f02-b6f4-3148-bc24-a3c155c03d7a,CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585.r4i1p1f1.Omon.umo.gn.v20190710,hdl:21.14100/e33979bb-7efc-495d-80db-d5ee8df22633;hdl:21.14100/ec93f7a6-1c23-41d4-9092-edddac768ebf;hdl:21.14100/fb0c15b0-3cc3-4b30-85c9-ac39721a0d35;hdl:21.14100/8a33636d-719e-45d2-a375-3610d9f734a6;hdl:21.14100/3da9d26d-6bdd-4d68-b5f8-82a75e8c1268
hdl:21.14100/c5a30514-3a7e-3028-b05a-265c1c7bb930,CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585.r4i1p1f1.Omon.uo.gn.v20190710,hdl:21.14100/a19426ba-184b-4c07-9005-330d9b4de6c9;hdl:21.14100/43471ecd-4915-4152-9b51-ac677a9d399f;hdl:21.14100/5dfe7b17-d28b-4c98-96b6-e51718e8a28a;hdl:21.14100/2d4de1c2-3f4c-409f-a8cc-8857b8d53011;hdl:21.14100/58519b1c-68b5-4aed-8ff6-97d11bcfcdb3
hdl:21.14100/d8345618-1b98-3f87-b754-0c88bf650951,CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585.r4i1p1f1.Omon.tauuo.gn.v20190710,hdl:21.14100/6bb2ac3a-f360-4605-ac20-923315c492f6;hdl:21.14100/82334b79-c3f4-41dc-af87-c4a7e68f055e;hdl:21.14100/1c1cd109-e63b-486a-acbd-446dda7e8679;hdl:21.14100/3807c10d-3e95-463d-b3d3-748d00361a40;hdl:21.14100/802eee8e-c740-419c-b396-ded31ec412a4
hdl:21.14100/2d77129a-f05b-3a2a-a9e0-b3d14745bda3,CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585.r4i1p1f1.Omon.hfx.gn.v20190710,hdl:21.14100/d6347578-a95c-4d1b-9e6e-82be7415f716;hdl:21.14100/238a44af-48ab-4cb4-935e-947ccbf29b6a;hdl:21.14100/596d8706-28e5-4945-9a18-874fbc4da9c1;hdl:21.14100/b6f50b3e-e898-4f04-a925-a3a6c60c3b2e;hdl:21.14100/6865861e-403c-4673-b354-a27a2c3e08ab
hdl:21.14100/800f7423-b366-39b2-a1a8-17f70ad59fe4,CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585.r4i1p1f1.Eday.es.gn.v20190710,hdl:21.14100/2bfff498-052c-41d8-8fea-7de79c4afe3e;hdl:21.14100/24607c61-a462-4e41-bd44-684865ee4c7f;hdl:21.14100/b686215a-b1b2-4229-98d9-ba82d896b779;hdl:21.14100/d3e214e4-78f1-473f-8557-6ad26cbd9a31;hdl:21.14100/539561bf-cf45-4f81-a3a8-fe6fe8e84671
hdl:21.14100/5dc3299c-cac1-3cf0-8fb0-5a3a27bec3e5,CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585.r4i1p1f1.6hrPlevPt.sfcWind.gn.v20190710,hdl:21.14100/8ffdd0bb-414f-4e33-b342-f95aa093baa6;hdl:21.14100/418a34bc-e1d1-4b9e-bccb-8e98eb68d2dc;hdl:21.14100/bb5dee60-5ca1-43d3-8b0c-0ad3dfb502ed;hdl:21.14100/7988233f-f4e3-4d6d-b2b5-386c77dea8cb;hdl:21.14100/8fc3653e-648c-4091-8eda-bdead646f793
hdl:21.14100/0de17b22-2f15-3d74-83fc-2a2df54e1674,CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585.r4i1p1f1.Eyr.fracLut.gn.v20190710,hdl:21.14100/1dfec576-fcde-4247-8c6b-6effd0b3a462;hdl:21.14100/59804469-97d2-4eaa-8cf0-96dd32f28f1e;hdl:21.14100/a1a83b9d-bde8-48b7-84b5-0c701264d89e;hdl:21.14100/71fe83d8-cdc2-419d-9267-5d64c141d3a1;hdl:21.14100/9fd447b7-65d1-461d-a925-adfdbd9dc23a
hdl:21.14100/837ec414-39c3-3fc3-b680-3c08b3825a8a,CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585.r4i1p1f1.Omon.o2sat.gn.v20190710,hdl:21.14100/38c9b6e7-b66d-4eaa-b8f2-d395a7579f66;hdl:21.14100/cd731e1e-f34d-42ea-9a29-6822bcb4cdcd;hdl:21.14100/748b05fc-0389-42a6-aead-b7645883c940;hdl:21.14100/a0beb108-04d0-4cf6-a0d6-6ac3f14f1fbe;hdl:21.14100/0a9b8156-c0a4-4d35-b903-5ae904ebef5e
