SAMPLE OF RETRACTION INFORMATION - 02/15/2022
----------------------------------------------------
experiment_id,number_of_retractions,overflow_status
land-noLu,316,no_overflow
land-noShiftCultivate,9,no_overflow
land-noWoodHarv,9,no_overflow
lfmip-pdLC,292,no_overflow
lfmip-rmLC,292,no_overflow
lgm,118,no_overflow
lig127k,179,no_overflow
midHolocene,307,no_overflow
midPliocene-e400,3,no_overflow
midPliocene-eoi400,34,no_overflow
modelSST-futArcSIC,100,no_overflow
modelSST-pdSIC,100,no_overflow
omip1,1160,no_overflow
omip1-spunup,337,no_overflow
omip2,859,no_overflow
pa-futArcSIC,210,no_overflow
pa-futArcSIC-ext,4,no_overflow
pa-pdSIC,209,no_overflow
pa-pdSIC-ext,2,no_overflow
past1000,286,no_overflow
past2k,9,no_overflow
pdSST-futAntSIC,99,no_overflow
pdSST-futArcSIC,300,no_overflow
pdSST-pdSIC,500,no_overflow
pdSST-piAntSIC,100,no_overflow
pdSST-piArcSIC,6798,no_overflow
piClim-2xDMS,244,no_overflow
piClim-2xNOx,433,no_overflow
piClim-2xVOC,439,no_overflow
piClim-2xdust,244,no_overflow
piClim-2xfire,238,no_overflow
piClim-2xss,242,no_overflow
piClim-4xCO2,277,no_overflow
piClim-BC,244,no_overflow
piClim-CH4,505,no_overflow
piClim-HC,632,no_overflow
piClim-N2O,178,no_overflow
piClim-NOx,1,no_overflow
piClim-NTCF,750,no_overflow
piClim-O3,288,no_overflow
piClim-OC,247,no_overflow
piClim-SO2,245,no_overflow
piClim-VOC,1,no_overflow
piClim-aer,397,no_overflow
piClim-anthro,804,no_overflow
piClim-control,1128,no_overflow
piClim-ghg,305,no_overflow
piClim-histaer,1842,no_overflow
piClim-histall,1845,no_overflow
piClim-histghg,999,no_overflow
piClim-histnat,1840,no_overflow
piClim-lu,143,no_overflow
piClim-spAer-aer,40,no_overflow
piClim-spAer-anthro,583,no_overflow
piClim-spAer-histall,2,no_overflow
piControl,4734,no_overflow
piControl-spinup,5,no_overflow
piSST,1,no_overflow
